id|BZID|State|Headline|Owner|Contacter|BZURL|
SPCSS00500404|913276|NeedInfo|[SC7731E][CARON][cm05]客户反馈：放电至自动挂机，连接充电器无法立刻开机，万用表实测3.57V，拔电池插充电器能立即开机|jihang.yan|张杰|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=913276|
SPCSS00501297|914684|NeedInfo|[SC7731E][CARON][cm05]客户反馈：打开Gmial时间太慢为4425MS，lava对比机SP502:1967MS，请优化|wangkui0409|龚玲珑|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=914684|
SPCSS00505012|920919|Opened|[SC7731E][CARON][CM05]CM05单摄背景虚化功能，当对焦完成后点拍照，偶现拍照模糊。可能是再次触发了TAF的动作，能否实现对焦完成后，不要再触发TAF动作。|tangqing1214|张杰|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=920919|
SPCSS00503926|919069|Opened|[SC7731E][CARON][CM05]GPS OTA测试FAIL， 请帮忙安排分析。|Rongsheng.Li|张杰|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=919069|
SPCSS00488420|895654|NeedInfo|[SC7731E][CARON][CM05]墨西哥SIMLOCK需求|doris.wang|吕海庆|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=895654|
SPCSS00496951|907645|Opened|[SC7731E][CARON][CM05]【量产加急】客户反馈了前摄主观确认结果，申请前摄像头主观优化!|shanren.ou|罗荣花|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=907645|
SPCSS00494189|903874|Opened|[SC7731E][CARON][cm05]相机-打开HDR模式-逆光拍照-保持拿手机的手不动，成像慢，导致有重影|xiaowei.liu|龚玲珑|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=903874|
SPCSS00505615|921846|Opened|[SC7731E][CARON][CM05]【申请加急处理】 GO 项目GMS Express Plus 检查Email 检查有个不符合，请帮忙 分析 ！|sam.chiu|罗承军|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=921846|
SPCSS00505621|921853|Opened|[SC7731E][CARON][CM05]【申请加急处理】GO 项目GMS Express Plus 检查 属性不符合，请帮忙 分析 ！|sam.chiu|罗承军|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=921853|
SPCSS00501308|914726|NeedInfo|[SC7731E][CARON][cm05]客户反馈：打开信时间太慢为3900ms，lava对比机SP502:1133MS，请优化|lubl0409|龚玲珑|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=914726|
SPCSS00504656|920295|NeedInfo|[SC7731E][CARON][cm05]【量产加急】客户反馈：录制视频开始后暂停键为置灰状态，当视频录制到3s后才可以暂停|caiyl1008|许娇|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=920295|
SPCSS00502268|916279|NeedInfo|[SC7731E][CARON][cm05]客户反馈：玩游戏时出现重启|steven.ouyang|龚玲珑|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=916279|
